sk_d_curso,cursoIngressoUFRJ,cursoAtual
a2bf045b5cd2a392636964653bf6c73fda2e755117cd6aac961d592cbb8889b6,Bacharelado em Ciência da Computação,Arquitetura e Urbanismo
0e63da0980ca649319c2c5ef83a833a256e83da8fd29881c148cfd883731a3d4,Engenharia Eletrônica e de Computação,Bacharelado em Ciência da Computação
fec03577cc68866a6f426a73e246e573949c93bfdd4dbfe4d94b34acf8747b4c,Bacharelado em Ciência da Computação,Letras: Português-Japonês
b73a0b12bf115c48af094f97260abc5aeac85cc2e47360758ffc32bff96248b4,Bach em Ciências Matemáticas e da Terra,Ciência da Computação
68c70f4978bc3d10095f8e328b206397b4011a19bdded6d8e9c6aef2c2e4bcde,Licenciatura em Matemática,Ciência da Computação
9db6b04ecdb49417c77d518e47759752299ddc7adc6ce711fcc67ba7ffdb6f9d,Meteorologia,Bacharelado em Ciência da Computação
708113b4684286ac13acb04c99334ca75671eb4f3f7e9a3c5aefe6bf9355660d,Engenharia (Ciclo Básico),Ciência da Computação
78226247fffec94ef96e0b61dd1bc0e51d1251926360237506b3495b3f4d08ad,Bacharelado em Ciência da Computação,Ciências Atuariais
ad1cb975c8e5cc53939c38ccbf9ec843a7d5a1c209d3f3518925558193f0e56f,Matemática Aplicada,Ciência da Computação
5069e57e9a092287abe917e15e916ac317396789c504d23ceafda4dfd308e31c,Licenciatura em Física,Ciência da Computação
16cd78d8d7d3a8cc514f8a50e951f2a87bb49bb76bfbecab1e7161a5805b0c54,Engenharia de Produção,Ciência da Computação
d6ed58d02a5d2b82061a8886c166e494efa98d237240f9af8f6061f7269aac5c,Engenharia Química,Bacharelado em Ciência da Computação
d0624d67a4c2243be825258e8ad057173f89716353ae73a71cbd35184fbd2f90,Engenharia de Controle e Automação,Ciência da Computação
891c33ad0c77d65eb941c34a76f2067c9cbe4cc7594c23074dbec312fb2687ef,Bacharelado em Ciência da Computação,Gastronomia
a9ea9ad4f527524d02b9c26b647bda885333f50b3587fd5e7623d637278abce6,Engenharia Naval e Oceânica,Ciência da Computação
06b3b3838fedc47b4ca83435f819c29cfca484d0ad235d4f1e33ccf97848afa6,Engenharia Metalúrgica,Ciência da Computação
955c754ab8084d548872030d74bbcea19dbaa420dd33d7d31eefb6f7bf419ce1,Engenharia de Materiais,Bacharelado em Ciência da Computação
2d854f2ead5b646c26358fd7a0e980dd5e28407d55e3d6292255f0530e92a7f6,Engenharia de Computação e Informação,Ciência da Computação
aec160edaaf85b544bac3d53fd390e074de82c31e67f9590da47ee6fe1d4fc98,Engenharia de Produção,Bacharelado em Ciência da Computação
f43aa0ca6c1c24e2b58b533768aa4f6f149479ffc3807a8b13a77c1b8d67ce8b,Química,Ciência da Computação
d0518b9530a272fb09877e1453a3a99e1ed54eb9c61aa9dc1fb2aa4d7392e35a,Bacharelado em Ciência da Computação,Filosofia
7136f5be93722f0a5841806277fcfa918ced92179b21bfd9534e96ed820f5413,Engenharia (Ciclo Básico),Bacharelado em Ciência da Computação
6038a44b6ee36ae66e6619c9736d4761fd6ca515ec40cf340d49419b32b63533,Engenharia Mecânica,Ciência da Computação
81cb2df965461d828c9b790828184d9a44cf8a9498abc2819bd9698a0eaf34ee,Bacharelado em Ciência da Computação,Matemática - Ênfase: Matemática
0eef9a1ea193903f493a2c01f48cff6a48a09032ff870f7d5cc880fa1694d9ea,Bacharelado em Ciência da Computação,Matemática - Ênfase: Matemática Computacional
25291593d36802be45aca02a611625fef3d15eb7f1d10270a49e5b7928be12dd,Engenharia Eletrônica e de Computação,Ciência da Computação
9e072b69f13bc1877700c441cdf40478c02be2f273544803c64607bf64731e61,Física,Ciência da Computação
d3469f6a0b3e23717d44fc182534e2db3254f8642ca6889c53760e50a0c1b12c,Meteorologia,Ciência da Computação
b04e50e1e81b07e4bba26b99505e3a21fd9160bdd6c664ebfb5c7f836b441f4e,Licenciatura em Física,Bacharelado em Ciência da Computação
2d37b7f8c6308826f3cd805e314628baf4dede1e70bb0a497e1350938cd0eb62,Bacharelado em Ciência da Computação,Licenciatura em Geografia
acbc30f06ec39601955703a6f4fb05791a031a8f7755d114cd0e5ef85d8fc40f,Ciências Matemáticas e da Terra,Ciência da Computação
a54d2fed0213e2b06b6fb51bf134c8f5920420505116c392bff02be24e3f4002,Bacharelado em Ciência da Computação,Engenharia Eletrônica e de Computação
4731a731e22171cf552cc83fe54a18bda1ce0bb144efa136ee2426d9b0271e65,Ciência da Computação,Ciência da Computação
