sk_d_disciplina,cod_disciplina,nome_disciplina
df6f4b64594be0afd511dcc55550537e306ab96a9c9424619fd04e3d08d242c7,MAB121,Computação I
90c4bf5516f1b3a75f927918ba5b1dfe7ce4eb515967e1e9a4e06e586f2ec7c4,MAC118,Cálculo Difer e Integral I
5d3749a42a6c7cd7401239c3b9762354a5b150735d7781ead9446ae98f121d3f,MAW117,Introdução ao Cálculo
f20edc570c16d78b9c66317a217b73917527d9145944f3fc126b625ea389ae0a,CMT012,Introdução à Programação C/c++
e94a1bf5c7c337230e1d228b3cd4b6f5f958b200ca661edaba659b9d35097865,CMT121,Inovações Cient Tecn e Art II
42b4dda4bf57b425b22a1052aec97381f4b1b02e5a14f578fa6ea9c76d13d8cf,FIS111,Física Experimental I
fd8dee3283a38eff8b17cf2951e557882870ebb14ca5dda5bd8d624534172f59,FIT111,Física I
66c9c15986fe5ccbb7de21c0d7ac014e4a1deea673907593f381e17042b24f5b,MAC128,Cálculo Diferen e Integral II
949eb0f242b3974a0b821f9c7e73fbd25766280346a94fbdbed55ff70f4bf445,CMT231,Inovações Cient Tecn e Art III
7a93cfa230c45539ca98578d5e86ebda2cd687764ee847a38652a42fb13fffdd,MAB626,Estudos Dirigidos em Redes
70c5438681f6efe2902a4b9e78fd4488412a85544fdf1459b695cc6210ed31bf,MAB602,Dw no Sup à Tomada de Decisão
71941cc395ed6170123b2e68ec63165aa2413cbd080f4a6294829bb6e3ee3f17,MAE125,Álgebra Linear II
9d2266031593dab43612ef7d1287cef41e05f4e90d59ff72c7cee51b57e76df4,MAB623,Tóp Esp em Redes II
f4bae07a7bdfe9833274745b90c651987befbf9397642e9f4e3c00eadd1db327,MAB634,Conhecimento e Inovação
92009bbd10b93c239973ff21fb66836e185c092b73223fd126c1a9f5e561cd82,IEE115,Economia
c6c42c4be83cd6efa8e67467f5efc18666e5d64c7a6e20efcde428f2cc4d561f,MAB465,Top.Esp.em Informat.na Socieda
6443551721c8799599f041a85bb54b1fd00b0780332460bd18c63a0c1c1c0ca1,MAB501,Programação Não Linear I
e4b4dc9868db99e7a7c2f8c49d7597179bcf9697daf3190b9a46bada9bd15efd,MAB601,Top Esp em Eng de Software
d8ceb525f20aa3fd20fc5f3468a1a1216c47a975164919c60f032a0106918ae2,MAB605,Recuperação de Informação
377d7363bb8d6a0148f2827b25b91f89a353f349bf715a094dbace1256422377,MAB525,Tópicos Esp em Int Artificial
1f45af703288cc7598991b9171aa3d5c783a3df9f366fb05457c0718186fa0bf,MAB608,Top Esp Intelig Computacional
454e3863a29c11a1302b5649cda2462e6f654006224a9e45497e229220701a85,MAB367,Sistemas Distribuídos
04c32420c1f61f75e7fc8211a690041f5f3b652c387b0656795d4572ac360281,MAE001,Modelagem Matem Finanças I
b6f2d7cebc2148d3316050cfea83db5bd2c99a8473983f5191963c63d869c3a5,MAB356,Organização de Dados II
92017a45ef235c038e7632a59e37ee7be639d2ec23e91dadbb0abad3addcca7f,MAB528,Tópicos Esp em Algoritmos
2906ca8f48f50592840b2d85f80bb5371e370d5ab988fba37111d1b62dc358d8,MAB235,Lógica em Programação
21a82a1e59c6ab4b8cade26e628146e400aa55bdfbf32e2be6d476c71a401ff9,MAB622,Progr Paralela e Distribuída
ee01b99d10e8e729a7e2f9124685e8f182a9b60f3bb58a8796a536ef5fed3f3c,DGI369,Interpretações de Brasil
1876fec42d22801e5ba6bb6d6b71439e78a084fd0305cc7acf7ffda22f607678,MAB003,Tóp Esp em Segurança da Inform
4a77068cebb94904446e925401a47a8359ea3594b852e64566194e48cbe6401e,MAB103,Análise de Risco
eb95301c3ffcb33c32ede4b7ccf5ca3d95e6268ba9045ef1e69794725fe246c5,MAB630,Bioinformática I
0f458969a0bda4ff9040f45f2eb40f128d3d47dbcaaca1ddf27b596ff2e87efb,FAE110,Modelagem Sistemas Estruturais
ff1009507dbd2d7c3282cdc3d95bf1c65c57001008ac36c4b67dce3892c47b2b,FAH110,História Arquitetura Artes I
e58bcbd63539f8850ae930fcf001cdce81cb3944261c663166bac0f861aea48c,FAU110,Hist das Teorias Urbanismo I
08d5b65ea6a58135c5dcb199c440befd68c58fce479685edd4d8bba4a498095f,BAF109,Desenho I - CVD
ddca74eaebbe823b6716e3a108f5675211863d406f77f82888717919ac3babd3,BAV101,Metodologia e Percepção Visual
5bc46ba4016f410dd6cfd4de6b7490405e00bb12ba29e936786d4f192d4c99ee,BAV102,Projeto de Design Gráfico I
83aebd9e1c04fd27c66cd818cfadc7f5e16a07ee5293598192b8ca29ace5edf0,BAV107,Oficina Básica CVD
feac4984f49432b06a48c17ec58f7032798342f430b66ed863bc2da66282b075,BAVX05,Lab de Experimentação da Forma
2b18be1056ebf97054c4712057337581562c241b40e37e0083a726996e8a3a1f,BAVX07,Lab de Design Gráfico I
7d276db72c557d78f1329eb28c3443a38a89c6ef5cecd0b3e71e6b8294168261,BAF110,Desenho II - CVD
7ab5a8343dc0df09cff54ed716ffaa92d00b91aa993d04440b9781daeeb77408,BAV103,Planej e Processos Gráficos
64182e40fa3e760168b93ac2afb3364129eeae2353ce327945b5f492ecb4d056,BAV104,Design e Gênese I
c6080d0dec45b70b9cdc847f81f463df4e253c25e1c411d7cc25403d2a539325,BAV105,Teoria do Design I
a951009b37a4df347f4346e438d7b9c7b22c3c775cd180325fc2bdec56c4ee93,BAV127,Fotografia
9ef74bd4d5bbd554a539493a6f5e27b80c17b5fbfad06a9b6ce10e594929c061,BAVX06,Lab de Processos Gráficos
f09640dbcb4d4ae0e4437d3fc549020885105d84f00a59221dc0a3288517869d,BAVX10,Laboratório de Fotografia
570459f5a5b3632b3f6777d1a7a3ad0f66ce9f1c0181db295a51334c1a3bad55,BAV112,Projeto de Design Gráfico II
42dfd91b5f26c9d1b890a82f4f05c2e18e3773c01934f3ea2231fca0be79235e,BAV113,Tecnologias Artes Gráficas
cba38d33ff9b8acc4d2de5395649c74f8dbec5f7be24a2335f4f893deb791401,BAV115,Teoria do Design II
1eac9aaf104f857d4d390b6a70d8f86bdab628d7288e842882e5b40b7cdd3590,BAV116,Oficina Gráfica Digital
2a5ed87eadd2cb5b224aff26da1cdfd409f64909c561bacf4679543415a5ca94,BAVX11,Lab de Experimentação Digital
fafec80eb2681bb593ee2ba70a7a216e00b6f241716ef876c0e9e01e7bdc05cb,BAVX17,Laboratório Design Gráfico II
bb19397c608b8ad6e1e91f353d8aeaa3c0109a13a33ecbf0892f2a4748b085a2,MAB603,Gestão do Conhecimento
c2be3a77085d96d4d071a6f59f3a1974c29fcd7cfcfe2374684284a4b96c5902,MAB604,Tópicos Esp em Comput Gráfica
ccbe74b0404f87b61f1ef87c45a197142baf6477ca736a16ec0a047c0386b07e,EEL970,Software para Smartphone
385798e21b911bab3a279a77d2ebe6cf96dfcdfdaeaa60fd6e5fd5050ba4fa1f,MAB101,Introd Análise Suporte Decisão
e5fceaf8f19da73fa1c54e29207a28a426b7f6f066093f21c15821a646a0b945,MAB125,Projeto de Jogos
83f46551d675bcde18313f3a4a8f5bd9a7bf525c0294525b96fe4967ded253b0,MAB470,Sistemas Operacionais II
b2efd4774bc89bb5de944556d889fcfee8019f4e7cae4bec643d6c14f7048e5c,BMW115,Metodos Matematicos em Biolog
2461c79130f623f026b98adb94ada036e9d8c18fc4f5b5cd1620f774536a37f0,MAB241,Computacao II
88d1dac0c876a8ffaee709a898df3358bafc57e8acd0876b1492bf651f71004b,MAB627,Tóp Esp Roteadores Roteamento
c6b0fb02ca46ae56d39a2159f9ce1f2147226b35f837187922a8f46d96aa646d,FIT112,Física I - a
e2742bc95ef811e079e1c09e811746699fdc585b34d5dd2a79acfdd25ef52c38,NCG009,Escalando Redes
d51babc02f79d6a34a2987a956d21c2b1e9ca235f77628621f9d5e154cafade9,MAB629,Tóp Esp Redes Longa Distância
cff0cc5c67906d51c982d721d6557755983329cb8a4fd37f1e317b18aabb9b86,MAB231,Cálculo Numérico
659868d812201c6eda107f5321bff97320f6c71579048875a515fc5183049143,MAB625,Tópicos em Criptografia
b025e69eb927086e77a171115b081df98064c7a7f65595a54ec9a6411134d2d1,EEL874,Inteligencia Artifical
