sk_d_aluno,sk_d_periodo,sk_d_curso,cr_periodo,cr_acumulado
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,9b9d29eed04d79ce77ca84829404b2a3e134afe4c446ef4e3a40b45c2980da13,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,3.8,3.9
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,4159cd8923ee497dcd22344b2ffc4a845bdce92a8c17cc94a2cb4afe6370d94c,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,5.7,4.8
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,1be9407b0177e3267f67a38fe9de1615d7a2e36001388671cd49e5121c9ceda2,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,5.6,5
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,2a23d074e47a3a8cdd94db54289974475f407df0c59bb3897950c680465c83f7,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,7.2,5.7
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,4d4f250915e29cc56ac564b87669f320433d2bb1a229ed2a7e30ee6231ef6e05,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,7.4,6
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,28e3c20143a411aceee3f93ea5393678445432c9085706cf2c92eff957354e7d,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,7.5,6.2
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,f9d7ccec7c000c8147eb90103dc3980f42eb0020049905041a164f314dc9f1a1,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,6.6,6.3
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,24371a59a1bc40623a3cdb35af5c870789f5123c6bf715aa68b087101ed1a6c4,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,5.6,6.2
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a25526e4d1050461b80f54546be876455f444e40aad178197e96516936597384,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,5.2,6.2
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,7e6dd30796a3b559c3b731f66d8e09891389e8c448eacf9645ef0ccd063ec447,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,4.2,6
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,49cd096be0d7b3716f5d04c93448d9429ca7f3c15add940ea0fb717094d7e797,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,5,5.9
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,ad209e8f41634e724648164d9664b564f0d3cd7ddabfe38a86bbd99e281de81b,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,6,5.9
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,ab7fe9a4f4c31c999d0c6f7a3656cc2d9692a086d0bda056b34ac7a54697b3b4,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,7.2,6
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,7fbaf654704927cabb4e26d8587cfccbe0bf9697ef94e4fdabdfd2daee1ade8c,cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,7.8,6.1
