sk_d_aluno,sk_d_periodo,sk_d_curso,cr_periodo,cr_acumulado
3b7ffedfd5916e6ee067be68f0deaef34beb18eacf7f7e1be5b3514b8fac177e,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8.1,4.8
3b7ffedfd5916e6ee067be68f0deaef34beb18eacf7f7e1be5b3514b8fac177e,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.8,5.1
3b7ffedfd5916e6ee067be68f0deaef34beb18eacf7f7e1be5b3514b8fac177e,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.8,5.3
cc30b5886e1f478d3cc5cef8a7f2aa22ab4a5dbf7b0d39fb96a3449817e502c8,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.5,6.5
cc30b5886e1f478d3cc5cef8a7f2aa22ab4a5dbf7b0d39fb96a3449817e502c8,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8.2,7.3
cc30b5886e1f478d3cc5cef8a7f2aa22ab4a5dbf7b0d39fb96a3449817e502c8,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.4,6.8
cc30b5886e1f478d3cc5cef8a7f2aa22ab4a5dbf7b0d39fb96a3449817e502c8,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,2.3,5.9
cc30b5886e1f478d3cc5cef8a7f2aa22ab4a5dbf7b0d39fb96a3449817e502c8,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.2,6
cc30b5886e1f478d3cc5cef8a7f2aa22ab4a5dbf7b0d39fb96a3449817e502c8,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8,6.2
cc30b5886e1f478d3cc5cef8a7f2aa22ab4a5dbf7b0d39fb96a3449817e502c8,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.8,6.1
8b4b1582ca4555a5d72db7df8f187f1ac38a6e5132591ee15d622ffebcfb1a3e,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.7,5.7
8b4b1582ca4555a5d72db7df8f187f1ac38a6e5132591ee15d622ffebcfb1a3e,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.6,6.1
8b4b1582ca4555a5d72db7df8f187f1ac38a6e5132591ee15d622ffebcfb1a3e,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.9,6.1
8b4b1582ca4555a5d72db7df8f187f1ac38a6e5132591ee15d622ffebcfb1a3e,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8.2,6.6
8b4b1582ca4555a5d72db7df8f187f1ac38a6e5132591ee15d622ffebcfb1a3e,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8.1,6.8
8b4b1582ca4555a5d72db7df8f187f1ac38a6e5132591ee15d622ffebcfb1a3e,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7,6.8
bfad68fe2ab8ee5e430d5b1302c1f149b4bff56c8c906bba57fa5e5c8a232123,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,6.1,6.1
bfad68fe2ab8ee5e430d5b1302c1f149b4bff56c8c906bba57fa5e5c8a232123,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,6.5,6.2
bfad68fe2ab8ee5e430d5b1302c1f149b4bff56c8c906bba57fa5e5c8a232123,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.2,5.9
bfad68fe2ab8ee5e430d5b1302c1f149b4bff56c8c906bba57fa5e5c8a232123,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.9,5.9
bfad68fe2ab8ee5e430d5b1302c1f149b4bff56c8c906bba57fa5e5c8a232123,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,7.9,6.3
bfad68fe2ab8ee5e430d5b1302c1f149b4bff56c8c906bba57fa5e5c8a232123,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,7.9,6.5
bfad68fe2ab8ee5e430d5b1302c1f149b4bff56c8c906bba57fa5e5c8a232123,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.3,6.6
659479bf8d744193a30700c48aa30a6c55dcafd8c617a336d55f86670c147d18,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.3,5.3
659479bf8d744193a30700c48aa30a6c55dcafd8c617a336d55f86670c147d18,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.8,5.5
659479bf8d744193a30700c48aa30a6c55dcafd8c617a336d55f86670c147d18,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,2.8,4.7
659479bf8d744193a30700c48aa30a6c55dcafd8c617a336d55f86670c147d18,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,3.8,4.4
659479bf8d744193a30700c48aa30a6c55dcafd8c617a336d55f86670c147d18,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.6,4.8
659479bf8d744193a30700c48aa30a6c55dcafd8c617a336d55f86670c147d18,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,2.8,4.6
659479bf8d744193a30700c48aa30a6c55dcafd8c617a336d55f86670c147d18,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.9,4.8
d8f548dedc438e25dabc4184ee96adb398c5f8d23bb9c81a8509b28a90458e51,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.3,7.4
d8f548dedc438e25dabc4184ee96adb398c5f8d23bb9c81a8509b28a90458e51,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.4,7.4
d8f548dedc438e25dabc4184ee96adb398c5f8d23bb9c81a8509b28a90458e51,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.3,7.4
d8f548dedc438e25dabc4184ee96adb398c5f8d23bb9c81a8509b28a90458e51,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.3,7.4
