sk_d_periodo,ano,semestre,periodo
7d249ce1e9756efeedfaf4590c70ea6d76ca2c9e64ec6cae9eedba6b8ea571a3,2013,0,2013/0
7e44b373755cb5c7148e5c8ed6ab57665442a4d625f8b8d16141a5181f6bb4ef,2014,0,2014/0
06cbb5f950df69d33c65734be35c881e62408fdfa50ad3f430fd240e39ec1b56,2015,0,2015/0
41a7f68bf892be4bc04e7970edac747b92b1180380af51569c9703af69855b8a,2017,0,2017/0
f37f0a0a1bb32d7877f498440e10f184d8a33b5befe6ac9e4cc0242119a1b3c4,2016,0,2016/0
d60ee2805934f1cd308accb5f837d7589e668a23956e82c03a6d512d16f047a9,2020,0,2020/0
6d2e52950dc1a1e33a62fabcd795a0c1474609b91940cb07ba8018ce3a242cb0,2010,3,2010/3
f45359f69577b469e8ada76cd6e045b302a4fcfaa7e0d1d67c1dc1edf2246408,2018,0,2018/0
8ad00ecd5eb3a6ca42f90cc776b009968ec5865f2d37b3db0a4a1db922b08b2e,2019,0,2019/0
fa122eae077795ac4ff0f80bb75550a9a2c30a192d035cb8c57be50de9020bf9,2021,0,2021/0
fa103adf3e582291297b8330060eace6bc1a14f8737cf2aecb62bcc9d715baf0,2013,3,2013/3
10071c57cf3b2135572815c0243a079fc18936a1259c3d5fcebbec5f6224caca,2014,3,2014/3
35f38caa1d59fb58a4daab7114c04db8ccde353f52682c9b361a944dfe569b19,2022,0,2022/0
